Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
1363745270,GGY6450,99,PAS,07/09/2015,46,SDN,HONDA,P,0,40404,40404,20170602,0074,74,301,358160,T301,0000,1037A,,K,F,142,MACDOUNGH ST,,0,408,D1,,BBBBBBB,ALL,ALL,WHITE,0,2010,-,0,,,,,,,,,,,,,
1363748038,JKY3781,PA,PAS,07/09/2015,21,SDN,VOLKS,P,88130,58730,85730,20160388,0079,79,301,346210,T301,0000,0824A,,K,F,117,VERNON AVE,,0,408,I3,,YBBYBBB,0800A,0930A,GRY,0,0,-,0,,,,,,,,,,,,,
1363748040,T650785C,NY,OMT,07/09/2015,21,SUBN,CHEVR,P,88130,58730,85730,20151031,0079,79,301,346210,T301,0000,0831A,,K,F,109,VERNON AVE,,0,408,D1,,YBBYBBB,0800A,0930A,BLK,0,2015,-,0,,,,,,,,,,,,,
1363748063,GST4149,NY,PAS,07/09/2015,21,SDN,SMART,P,88130,67030,58730,20161008,0079,79,301,346210,T301,0000,0846A,,K,F,27,VERNON AVE,,0,408,D1,,YBBYBBB,0800A,0930A,BL,0,2008,-,0,,,,,,,,,,,,,
1363748099,GVC2707,NY,PAS,07/09/2015,21,SDN,VOLVO,P,93230,67030,58730,20170203,0079,79,301,346210,T301,0000,0910A,,K,F,481A,WILLOUGHBY AVE,,0,408,D1,,YBBYBBB,0800A,0930A,BLK,0,2011,-,0,,,,,,,,,,,,,
1363748105,GSG8695,NY,PAS,07/09/2015,21,SUBN,JEEP,P,93230,67030,58730,20160626,0079,79,301,346210,T301,0000,0913A,,K,F,479,WILLOUGHBY AVE,,0,408,D1,,YBBYBBB,0800A,0930A,GRY,0,2014,-,0,,,,,,,,,,,,,
1363748117,GNE7269,NY,PAS,07/09/2015,21,SDN,NISSA,P,0,40404,40404,20160223,0079,79,301,346210,T301,0000,0930A,,K,F,431,JEFFERSON,,0,408,D1,,YBBYBBB,0900A,1030A,GRY,0,2010,-,0,,,,,,,,,,,,,
1363748130,GYR6214,NY,OMS,07/09/2015,21,SDN,CHRYS,P,0,40404,40404,20160930,0079,79,301,346210,T301,0000,0938A,,K,F,463,JEFFRSON AVE,,0,408,D1,,YBBYBBB,0900A,1038A,WHITE,0,2015,-,0,,,,,,,,,,,,,
1363748154,GXX9802,NY,OMS,07/09/2015,21,SUBN,FORD,P,0,40404,40404,20150930,0079,79,301,346210,T301,0000,0956A,,K,F,291,JEFFRSON AVE,,0,408,D1,,YBBYBBB,0900A,1030A,GRY,0,2015,-,0,,,,,,,,,,,,,
1363748178,MRJ0NZ,NY,SRF,07/09/2015,46,SUBN,ROVER,P,47030,85730,85330,20160811,0079,79,301,346210,T301,0000,1053A,,K,F,370,HANCOCK ST,,0,408,D1,,BBBBBBB,ALL,ALL,BLACK,0,2003,-,0,,,,,,,,,,,,,
