Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
1363745270,GGY6450,99,PAS,07/09/2015,46,SDN,HONDA,P,0,40404,40404,20170602,0074,74,301,358160,T301,0000,1037A,,K,F,142,MACDOUNGH ST,,0,408,D1,,BBBBBBB,ALL,ALL,WHITE,0,2010,-,0,,,,,,,,,,,,,
1363745293,KXD355,SC,PAS,07/09/2015,21,SUBN,CHEVR,P,55730,67030,58730,20160288,0079,79,301,358160,T301,0000,1206P,,K,F,331,LEXINGTON AVE,,0,408,F1,,YBBYBBB,1100A,1230P,RED,0,0,-,0,,,,,,,,,,,,,
1363745438,JCK7576,PA,PAS,07/09/2015,21,SDN,ME/BE,P,42730,26730,26830,0,0079,79,0,358114,TEBN,0000,0820A,,K,F,1087,FULTON ST,,0,408,D1,,YBBYBBB,0800A,0930A,WHITE,0,0,-,0,,,,,,,,,,,,,
1363745475,GYK7658,NY,OMS,07/09/2015,21,SUBN,NISSA,P,58130,18630,67030,0,0079,79,301,358114,T301,0000,0918A,,K,F,207,MADISON ST,,0,408,D1,,YBBYBBB,0900A,1030,BK,0,2015,-,0,,,,,,,,,,,,,
1363745487,GMT8141,NY,PAS,07/09/2015,21,P-U,LINCO,P,58130,67030,58730,20160206,0079,79,301,358114,T301,0000,0925A,,K,F,237,MADISON ST,,0,408,D1,,YBBYBBB,0900A,1030A,BLK,0,2006,-,0,,,,,,,,,,,,,
1363745517,GYK3760,NY,PAS,07/09/2015,21,SUBN,HONDA,P,46730,58730,85730,20160709,0079,79,301,358114,T301,0000,0948A,,K,F,201,HALSEY ST,,0,408,D1,,YBBYBBB,0900A,1030A,OTHER,0,2006,-,0,,,,,,,,,,,,,
1363745529,GYK3760,NY,PAS,07/09/2015,75,SUBN,HONDA,P,46730,58730,85730,20160709,,0,301,358114,T301,0000,0949A,,K,F,201,HALSEY ST,,0,408,D1,,BBBBBBB,ALL,ALL,OTHER,0,2006,-,0,,,,,,,,,,,,,
1363745542,GWL9925,NY,PAS,07/09/2015,71,SDN,TOYOT,P,85730,59530,32030,20170602,0079,79,301,358114,T301,0000,1043A,,K,O,482,TOMPKINS AVE,,0,408,D1,,BBBBBBB,ALL,ALL,OTHER,0,2006,-,0,,,,,,,,,,,,,
1363745554,GPH9963,PA,PAS,07/09/2015,21,SDN,MITSU,P,55730,67030,58730,20150288,0079,79,301,358114,T301,0000,1204P,,K,F,317,LEXINGTON AVE,,0,408,J6,,YBBYBBB,1100A,1230P,OTHER,0,0,-,0,,,,,,,,,,,,,
1363745578,GWF8627,NY,PAS,07/09/2015,21,SUBN,LINCO,P,31530,58730,85730,20170407,0079,79,301,358114,T301,0000,1227P,,K,F,739,DEKALB AVE,,0,408,D1,,YBBYBBB,1200P,0130P,OTHER,0,2002,-,0,,,,,,,,,,,,,
1363745657,VJA95M,NJ,PAS,07/09/2015,21,SUBN,,P,51930,42030,58330,0,,0,301,359590,T301,0000,0851A,,K,O,84,INDIA ST,,0,408,D1,,YBBYBBB,0830A,1000A,WH,0,0,-,0,,,,,,,,,,,,,
1363745670,GVA7104,NY,PAS,07/09/2015,41,SDN,VOLKS,P,45830,42030,58330,20160421,0094,94,301,359590,T301,0000,0905A,,,F,125,GREEN ST,,0,408,,,YBBYBBB,0830A,1000A,BLK,0,2014,-,0,,,,,,,,,,,,,
